id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,1.64679937219e-11,1.87748103909e-11,3.18708075735e-15,1.94593239122e-09,8.08014255659e-11,1.47465353053e-10,1.89022064569e-16,9.84189827443e-13,1.03211204404e-12,4.24859542883e-09,1.18970644277e-08,1.92834946714e-14,9.46341327309e-14,3.64565296203e-11,5.62038196104e-10,1.351144498e-11,1.46268757857e-06,3.63576284513e-15,1.5200483766e-10,1.50213509952e-14,9.86766804224e-10,3.21391110913e-10,1.60682914348e-08,2.15749943651e-12,1.03715790171e-13,7.58958024629e-13,1.45781213672e-06,1.59027993072e-08,4.15753133461e-11,9.98405709858e-11,2.94137511955e-17,2.35399235608e-06,1.08097149262e-07,1.14156020958e-07,3.83620506636e-11,4.77214532879e-09,1.6847022837e-11,6.19756962689e-17,4.03827572397e-10,6.15714305995e-12,4.24335237475e-15,2.53567135848e-08,1.32935637446e-10,1.5518795706e-13,1.02656653624e-08,4.39359185738e-11,1.05750320835e-05,4.02161694462e-16,1.97531374917e-13,9.27239143501e-11,1.61753473925e-09,0.999910867385,2.64664192396e-12,1.55653691576e-07,2.38957871195e-09,9.19190214223e-07,1.33934652155e-06,6.75673737825e-15,8.69590570296e-13,1.05464637035e-11,4.7641719106e-12,2.79188684725e-11,3.51323353577e-12,4.36459209398e-11,2.78367742599e-05,2.14466843239e-10,3.52471934657e-09,1.02917191303e-16,4.2963967701e-13,3.36655972802e-11,5.69434252618e-14,1.20594079492e-13,2.76537109627e-08,4.83836098142e-17,7.99327283341e-06,1.27362189402e-06,4.24926839929e-15,6.83327673103e-10,1.02696153432e-05,1.06711575454e-13,3.06602161607e-09,1.50525285618e-14,7.86062367878e-14,1.68175825425e-05,1.60957498928e-06,9.83545212855e-16,2.20431294857e-16,4.07570792502e-16,4.50364115279e-06,1.09240068442e-15,3.34822190367e-10,3.75080416503e-11,7.56355975561e-13,1.52565610103e-09,1.53067792722e-13,3.0579982068e-14,4.07443956424e-15,2.07712723514e-07,3.18898582173e-14
7,7.69032402074e-11,3.92354914874e-11,8.63130574932e-09,1.55360594421e-07,8.87463308803e-12,8.81369987274e-11,1.69539246397e-06,7.88013188163e-11,1.80126594308e-10,4.8041713004e-11,2.32585243591e-13,2.88967078866e-12,4.1539467339e-12,1.0661182897e-11,6.91409890485e-12,1.2446085376e-11,5.88677441246e-12,3.8587235509e-08,3.1745521409e-12,2.1627708317e-07,4.13820155285e-11,3.41987286365e-12,2.13824500599e-11,2.65764272651e-11,4.98649043831e-11,7.15562192949e-12,3.03074719253e-10,1.43426334295e-08,8.94766037639e-11,7.50827238785e-13,2.27488892926e-09,1.73963808712e-10,2.37625290262e-10,5.76643896284e-13,1.55580630677e-08,1.27149797939e-13,1.47101077175e-06,1.2987689922e-09,4.12937576518e-09,3.91259119191e-07,3.69500690898e-08,1.45846307054e-08,1.04813019977e-08,7.69005055002e-09,7.77141365579e-12,2.64196756535e-07,2.31041135557e-13,6.98164322271e-06,4.37407471162e-09,2.09424993857e-13,0.999981209626,1.39371673639e-10,2.81238829995e-10,1.25851668705e-09,5.53973656586e-10,7.19917250457e-09,1.11720190117e-11,9.48148929723e-09,2.29675657658e-07,9.91621386449e-09,5.64725725862e-09,1.15516330896e-09,1.58848650825e-12,3.14627967086e-08,1.45229833931e-12,6.56582159004e-12,4.47872763897e-12,1.18077430335e-09,2.25400397839e-09,4.77921026064e-06,8.7572676468e-14,2.6245939063e-12,1.32352548702e-11,1.04503072682e-10,2.0483823887e-13,4.32864826545e-12,9.59476718833e-07,2.69951472079e-11,3.82399606017e-10,8.75478593163e-10,7.03487848949e-11,4.37225191632e-09,3.49607315742e-07,5.2343866354e-08,1.00827067269e-07,2.97314689681e-08,4.65988569891e-09,1.26914156166e-07,2.18419316427e-13,2.32359948533e-09,3.75412348394e-09,1.57145108879e-12,7.31014611815e-13,1.46093532909e-14,4.55890760311e-07,9.98295749287e-10,2.82637340634e-07,2.99101858736e-12,3.37522562457e-10
9,8.0289915018e-08,0.998586801287,2.9929101037e-09,7.06806935312e-10,0.00114353061416,3.01992554133e-08,1.71120356241e-09,1.3053460761e-05,4.32635209193e-05,1.06836035738e-05,7.81701552089e-09,2.78593066469e-05,8.16668164444e-09,7.3912437311e-08,7.08161757468e-07,1.0849987883e-07,0.000125030229724,5.92335899289e-11,7.84279552268e-10,5.29922168246e-07,3.70617885001e-09,2.60992530908e-08,1.45543284162e-12,4.23755707825e-10,3.6738699062e-12,7.66964664195e-07,2.35189308335e-06,6.4725237504e-12,4.13195802838e-10,1.621655019e-08,1.2493121301e-09,3.49767053346e-10,1.55841751968e-07,8.72532919189e-08,1.72681828535e-10,1.44814475808e-06,1.88389964882e-11,2.74106696306e-09,4.86188493733e-11,3.95949870975e-06,1.75818346088e-08,1.64623134567e-08,4.64887051515e-10,3.88606352793e-11,1.10411783613e-08,1.03242063552e-09,4.91433395112e-10,1.13531548888e-08,2.53678540375e-06,1.05635143826e-07,7.38646806681e-09,2.7231390654e-11,6.86144588077e-09,1.98591692204e-07,5.91304504713e-09,1.24412056038e-10,5.86436253055e-06,5.73027659926e-10,1.11211800923e-10,2.16691223486e-10,4.27173608483e-09,6.20319011487e-12,1.57464667472e-09,1.75483852116e-08,7.31295279859e-08,1.38849677366e-09,5.3647243415e-09,7.79638273261e-11,1.42752181421e-12,4.64064805082e-09,2.67190696999e-10,6.61576095287e-09,1.11037792749e-09,9.96101465166e-07,3.74373880241e-07,1.90974822418e-08,5.16737791299e-11,1.6488421013e-09,1.06794609335e-07,5.70464228574e-11,1.20417176403e-08,1.64368074211e-11,4.21269785544e-10,1.71313776562e-08,4.77183896906e-08,8.12339426167e-06,3.71698858119e-10,3.27741635886e-08,4.02440814117e-09,1.32654963112e-07,1.31385651527e-09,1.7752871426e-08,6.61010160427e-09,3.32173941419e-09,6.87189827909e-09,1.94477793511e-07,3.44032841021e-11,1.4423014291e-09,2.04021565364e-05
12,1.62333855716e-09,0.00112656880767,2.69618626017e-09,3.82397041422e-10,1.9676937079e-08,8.7743896571e-12,6.20841672496e-06,1.54971202872e-07,4.93570546459e-06,3.69294486288e-06,3.2921928679e-11,4.7524699549e-06,7.19498282961e-06,0.000299816404199,1.05332746694e-06,9.9756896803e-09,1.25687984861e-09,1.49563040423e-05,4.30392101069e-11,0.993757666926,1.73516926765e-08,6.06813037653e-12,6.71511205311e-10,9.06845941291e-11,1.03883161366e-10,4.83718037574e-11,1.44288089337e-06,8.41317665532e-10,1.45577263567e-12,1.78803769599e-11,8.41306671429e-10,3.154570111e-12,1.21541222115e-09,6.67997543787e-11,5.17379779469e-10,9.62067421017e-11,2.08762336884e-07,1.16674531713e-06,1.69176453348e-09,1.98552325539e-08,9.08934484373e-08,5.35645756001e-05,1.25568912753e-10,1.08859694204e-09,4.04740994351e-10,3.053941641e-08,1.6418506608e-11,0.00161504575282,7.83360029411e-06,3.74145358909e-11,6.86223696601e-07,3.95038851809e-12,3.62471550088e-08,6.02234886389e-09,5.29588988441e-10,2.73782110079e-11,1.95684080143e-11,4.87468705191e-08,3.45246396828e-06,4.56700976769e-09,5.71110920214e-09,6.65499761354e-12,7.1832591699e-09,6.95130460827e-07,1.39004147365e-10,7.1881118307e-10,1.87383975535e-10,4.83493565969e-08,2.91120701463e-11,5.01868854734e-12,1.09809533267e-11,3.77514129357e-10,5.5830834979e-12,1.34140876251e-08,6.22093860336e-10,1.00766178462e-09,3.90998889596e-09,5.1549437399e-09,2.1975405411e-08,2.81035398812e-09,5.37289191881e-07,1.13249875091e-08,1.31688213022e-05,6.58027627915e-09,5.64620147389e-09,6.61694575057e-05,1.79200599151e-08,1.0492364011e-07,1.18349512385e-11,2.66455264847e-07,2.29533978557e-09,3.54513474683e-08,9.05891349995e-10,4.27080168746e-10,1.16397526523e-06,0.00299153642856,4.91618478018e-09,2.25664736777e-10,1.54595447063e-05
13,6.97151887364e-09,2.25853462166e-08,5.24870785206e-13,2.95023750095e-13,2.73225037883e-09,3.55765884679e-13,1.3737211803e-09,4.65821799962e-09,4.27897594698e-06,2.9580146323e-08,5.54910891768e-10,3.2149071345e-05,1.78867120694e-08,5.61182555327e-07,0.999946694805,1.01055880165e-10,5.0523187398e-06,1.00585773638e-10,7.32931485219e-10,1.98890849433e-11,3.56250474769e-08,4.38773644054e-13,7.6882509915e-10,4.2845643114e-12,3.37062456518e-11,8.83172413987e-12,7.12991466629e-08,8.28408110474e-13,1.57734703823e-12,5.65080446835e-12,2.19327295443e-11,2.32898087277e-14,3.80507054681e-13,4.35577467737e-11,5.99814759865e-13,6.76575808875e-09,4.58760773146e-12,1.21268116204e-11,1.56767845281e-10,1.3387658092e-12,1.66491954169e-10,3.30348810341e-10,1.01101291637e-12,1.35807799847e-10,1.5089141872e-12,1.94874640859e-13,9.52994370223e-12,3.86836653629e-09,3.48106384878e-06,7.86468240081e-07,1.72331250455e-12,5.50950207977e-13,4.97595853636e-09,7.30264382217e-09,4.7954691202e-11,6.07598233263e-14,2.69512723229e-11,1.34875327788e-11,2.72028412626e-11,5.06294541738e-11,1.05821125901e-11,1.20828765862e-12,1.21585237101e-11,1.61257142159e-09,1.79146319429e-10,3.54257883884e-13,1.61614725451e-11,1.63161231576e-12,2.13158181918e-14,4.24041879277e-13,8.35758885032e-11,3.59054486522e-09,3.14728672618e-13,7.70026617144e-12,4.22247118414e-08,1.11331986628e-10,7.22612082794e-12,8.94811029052e-10,3.26605158851e-09,1.64079739313e-10,2.74203984858e-09,1.1637319587e-12,1.47273862816e-09,2.59302970137e-09,2.09512083377e-11,5.17834757622e-11,4.45018997417e-11,2.83334784314e-12,7.02725124312e-11,1.98345257978e-08,1.81061967913e-11,3.23524794051e-07,1.62782036583e-10,2.97526086463e-07,1.15276332669e-07,5.95938190193e-06,2.2059348891e-10,1.67072056515e-09,2.99911189781e-10
16,1.58363789979e-05,2.13839846439e-07,4.54286317135e-06,0.971354768953,7.89997124474e-08,9.42102766606e-09,1.70414136537e-05,1.93111538202e-05,1.03130987099e-06,1.29813379511e-08,3.57118325837e-06,1.9331459004e-07,2.68663064578e-05,6.96790345652e-07,1.4813721049e-06,1.79336123285e-07,3.00870075036e-07,5.37365535826e-05,4.70666543653e-06,9.1469256848e-05,8.87114661729e-07,3.45459194855e-07,3.49117935507e-07,1.15786014909e-07,1.4173410242e-05,3.06783149378e-06,8.52850915201e-06,5.36417031754e-06,1.36468311647e-06,2.20827321296e-09,5.49941834845e-05,2.33685355444e-06,7.43316447214e-06,3.50537407522e-08,1.44967461443e-05,7.00971859959e-08,2.69474437193e-05,1.17728998412e-05,8.90890748007e-07,2.12017575321e-05,0.000149473304662,0.000230632297033,2.95080741499e-05,0.00512263520898,2.21678311573e-06,0.000328440527066,1.64256715422e-07,1.12137156848e-05,1.8961521084e-06,1.45025347827e-06,8.14791521265e-05,2.67095665088e-07,0.002577449703,1.62752527526e-06,1.31636513621e-08,4.29116209412e-07,4.13541647012e-08,6.6897944124e-05,0.00136278828228,2.23784260836e-06,4.62581528913e-05,8.86176806126e-08,1.39701613487e-05,3.27056099252e-06,2.19483880907e-08,2.65234767442e-06,1.57157246509e-07,0.000103700283648,3.76606012606e-05,3.40891528696e-05,5.25690819278e-08,2.91528506664e-06,5.60576278749e-08,1.97202013958e-05,2.05850053463e-08,2.13253982762e-06,3.77498681805e-05,9.50319893928e-07,1.17203516635e-08,2.12441571397e-05,1.98026376117e-09,0.000309507562395,4.78382676094e-05,0.000223330590578,6.90938766293e-07,0.000548865208697,0.0160310359246,6.48315559845e-06,2.63980406906e-08,0.000120868018039,0.000131544119655,4.90379705214e-06,7.92627345922e-07,1.4707733728e-06,0.000399907441717,1.44072753256e-05,6.36435195461e-05,1.19013879029e-05,1.47706299623e-05
19,3.50683812141e-06,7.71755093725e-08,1.49944195464e-06,0.999312782021,4.28014115775e-09,1.88547609434e-09,9.91009303657e-07,9.9814924194e-08,3.30785720372e-08,1.87922667623e-09,1.17947022954e-06,3.13263306371e-09,1.53987544303e-05,1.10927767705e-08,1.49628889591e-08,1.19608364295e-08,5.21823001945e-08,1.47702378271e-07,9.04522393866e-08,4.85714144587e-06,4.53061377868e-07,3.59915021313e-08,2.58780745557e-09,3.24128457294e-08,3.48348135852e-07,6.11424255824e-07,1.44551879366e-08,4.50815046501e-08,3.03298179635e-07,1.76656404113e-09,3.67545219426e-06,1.37158886343e-06,4.94370649033e-06,1.27061132248e-09,2.7056805436e-07,3.34081924111e-09,1.9225389329e-06,1.34536709346e-06,4.09925618125e-07,1.65148851766e-05,1.08398805322e-07,9.14949331614e-06,4.04948521418e-07,3.01966476657e-05,1.33221061857e-07,1.38583611569e-05,3.13089991865e-08,4.69037041857e-07,1.50706475404e-07,1.09964411669e-08,0.000149937829508,1.63721379674e-07,4.17979707646e-06,4.84381376689e-07,2.77829544856e-09,2.06065541225e-07,3.92300915399e-08,4.29964248814e-07,3.95317335553e-05,1.74910970531e-07,3.60607283675e-05,8.38030959204e-09,4.62948477597e-08,1.13866829585e-07,3.11231057103e-08,7.32520122207e-06,4.33890053464e-09,5.4587595997e-07,1.49656807543e-05,6.58590310247e-06,1.83201357121e-09,3.37141931924e-08,1.69722034537e-09,3.54014415395e-08,7.16390810282e-10,3.74200881628e-08,9.16444783738e-06,3.99551848797e-08,3.60387972572e-10,1.92564644631e-06,3.20641540042e-10,2.03651974377e-05,1.95082880727e-06,1.09694747747e-07,1.40066794245e-06,3.35061427775e-05,1.14796494465e-05,8.09738232647e-06,9.30270850791e-11,9.48210620049e-07,1.53544394452e-05,2.65950936817e-07,7.44702298924e-08,1.35967893755e-08,0.000168502450168,9.4736434223e-08,2.17375910042e-06,9.64171937757e-08,3.59025285707e-05
23,3.28512391516e-10,3.39954721913e-08,1.12079472409e-06,3.85564380195e-06,1.7523866662e-08,0.000224830944998,1.99624428316e-06,2.33072303264e-08,2.09996292762e-10,4.51070766241e-09,4.57204325427e-11,3.26055047538e-08,1.29349423963e-08,1.25027655001e-09,1.58926126522e-10,0.000324076685202,6.50033493648e-11,2.00003197169e-09,2.812708333e-07,1.79834046697e-08,1.95002567188e-06,8.96913265524e-08,9.04067223714e-08,1.33168792392e-06,2.11684960761e-06,1.13220953844e-07,1.19093014405e-10,3.65568828796e-08,0.99742415687,0.00176763087291,7.36312501598e-05,1.73267774347e-10,2.88046353631e-08,1.69071055577e-08,9.94732975709e-08,1.48104990499e-07,1.77992608078e-08,5.27838813729e-06,5.33859880128e-09,5.92620466562e-06,9.32201296559e-09,1.22731559835e-11,2.88811477052e-05,4.32889600707e-08,5.85453285206e-10,7.83903955429e-09,7.7921735537e-10,2.59172388308e-09,2.07310023061e-08,3.40886702112e-10,4.21376838012e-08,1.80087241918e-07,1.10952449811e-08,1.24190913438e-08,4.99362750977e-08,0.000100723762793,1.00476070138e-06,1.27097063077e-07,9.20701059143e-10,2.47739083556e-09,4.70295539362e-08,3.87588189676e-07,2.59395994557e-08,1.77442943441e-08,1.47935503898e-09,1.04872385915e-07,1.1195027139e-06,8.24654376857e-08,6.4563246325e-09,2.65421177591e-06,6.1159111012e-06,1.69280604938e-07,7.5746058151e-08,5.6184356267e-07,1.37704140914e-10,3.23478448696e-11,1.85817506954e-06,1.2175561499e-08,6.69076795056e-10,7.38688580335e-07,2.27269861097e-06,2.5297895411e-06,1.13244787545e-08,1.25115732565e-12,4.0585933972e-08,2.69064874553e-09,3.36351358902e-09,1.03932004178e-05,4.10281405226e-09,7.30777347499e-09,4.4721937948e-08,4.66616010639e-09,1.40148059955e-08,5.63290129487e-08,3.08385385512e-10,9.51673484429e-11,1.0094523094e-07,3.91714664635e-10,4.3493264809e-07
24,2.81292373913e-07,2.4630066607e-09,3.81463401185e-10,4.58535704558e-11,3.75078875054e-10,2.90795982811e-08,2.34079314648e-10,4.05766390057e-11,1.58350398558e-06,2.65663593342e-10,2.92822317371e-09,5.30729118464e-13,1.07736208103e-11,1.08837102579e-11,7.47664142344e-12,3.20492461441e-10,4.98499792704e-08,1.25999179438e-10,7.00454202465e-13,2.45619807197e-10,3.16972578849e-09,9.87044507939e-11,5.70292517117e-15,1.71828495984e-10,4.89798501126e-14,4.50794836414e-11,6.59834928973e-09,3.23148835261e-10,5.04583499864e-14,1.78123991896e-11,3.38706673511e-13,6.51773675285e-07,2.4826704565e-08,2.61162410081e-09,7.93426735721e-09,1.30369339697e-11,3.67549661368e-09,1.12568846345e-08,9.09120568831e-10,3.77469121247e-06,7.97640182647e-11,1.0287144265e-09,4.07728836591e-10,1.92541146749e-11,3.37352403755e-10,2.22193426616e-08,7.61527496814e-13,9.71226466197e-11,6.46655366981e-13,1.19175236282e-11,7.1407969657e-11,3.6769429517e-08,1.58568877025e-12,7.09356524105e-14,8.74429705007e-11,1.43430344364e-10,3.0030118075e-12,2.08538943488e-11,1.01603325186e-07,2.47157287271e-07,9.73219470909e-11,7.34527579092e-12,2.61807029863e-13,4.73852377972e-11,1.4421135966e-10,5.43153485779e-11,1.18484020812e-11,1.76045739017e-13,6.8427398839e-11,5.44226215726e-08,2.72485768994e-12,1.37209952605e-12,1.47127238449e-08,1.65901420131e-14,3.86094477816e-09,7.20080482292e-11,1.25650910837e-10,2.46342639442e-10,1.649698068e-08,5.87084341575e-11,2.18113980074e-11,1.84371307666e-10,6.48561733506e-09,3.91441303767e-09,0.999993027967,4.12969357873e-11,7.08036305786e-14,1.78791391978e-10,5.64415071837e-12,1.33886072132e-09,3.98213862015e-11,9.04133266553e-12,3.60421148696e-11,1.46634585584e-12,1.99355670019e-08,3.52242477585e-11,2.2461105899e-13,1.30658165246e-11,6.50758344355e-13
28,4.98477777574e-06,1.72907736825e-06,1.28906952092e-09,3.08699624926e-08,4.36205056097e-08,1.73215094544e-10,1.34022642331e-07,1.58683881368e-05,0.999934564908,1.60350644957e-08,1.07268787483e-06,9.51210059513e-07,3.99210287182e-06,5.42093372963e-08,1.42208600387e-06,5.68255805943e-09,6.75677850274e-07,3.16825135573e-07,2.30129725222e-09,1.68435454088e-07,2.21622190095e-08,2.6623958426e-11,2.17386429914e-11,1.114671297e-10,2.32223269297e-11,1.23711741292e-10,1.64493583452e-08,2.27103451043e-11,2.5270661907e-11,2.36794181105e-11,5.58858144346e-10,1.82647060546e-10,4.95141546933e-08,6.94276593248e-08,8.26191704013e-10,2.4707544296e-08,4.18689582153e-11,9.03698840445e-09,4.06991031678e-11,1.90724583332e-08,1.20078320714e-08,3.27739407836e-08,2.13360993363e-10,7.86558024766e-11,1.58562352101e-08,5.35454643651e-09,2.60627722185e-10,7.09915337147e-09,2.10651293304e-07,2.34812402262e-08,3.70093130927e-10,4.34337760264e-12,1.87562313326e-08,2.63054159151e-08,3.16344282379e-09,8.08751561469e-10,8.11657459222e-10,1.8779838804e-10,6.71193713578e-09,1.02168318151e-09,7.86277109796e-10,1.21513484862e-11,3.45163138899e-10,4.25026598627e-10,1.40381280353e-08,3.76440666548e-09,1.31841075617e-10,5.71079928477e-11,2.51566705923e-10,1.7277195802e-09,1.0772360163e-10,7.49770222226e-10,3.34836175846e-11,1.06788783248e-09,4.64874907553e-08,5.58091462849e-09,1.38804821931e-10,1.2387283341e-10,2.73150184681e-08,2.12044921087e-10,4.31765103129e-09,2.12495094768e-09,2.06348189518e-07,8.47967698825e-08,5.63551368935e-07,7.98608610502e-08,3.91367024948e-08,2.99491675824e-09,7.93011831876e-11,7.31180271354e-07,6.69189333837e-09,3.97526085114e-07,1.49427035036e-08,3.83156386259e-07,3.05042192089e-05,2.48611938478e-07,9.15033893919e-13,1.34787346765e-10,1.42709318769e-08
